Quarter,Net.Sales
2005Q1,1.37
2005Q2,1.09
2005Q3,1.13
2005Q4,1.12
2006Q1,1.67
2006Q2,1.31
2006Q3,1.34
2006Q4,1.29
2007Q1,1.87
2007Q2,1.46
2007Q3,1.51
2007Q4,1.74
2008Q1,2.46
2008Q2,1.87
2008Q3,1.84
2008Q4,1.79
2009Q1,2.47
2009Q2,1.86
2009Q3,1.88
2009Q4,1.83
2010Q1,2.64
2010Q2,2.11
2010Q3,2.16
2010Q4,2.10
2011Q1,3.00
2011Q2,2.35
2011Q3,2.40
2011Q4,2.35
2012Q1,3.39
2012Q2,2.67
2012Q3,2.73
2012Q4,2.91
2013Q1,3.86
2013Q2,3.03
2013Q3,3.06
2013Q4,2.98
2014Q1,4.24
2014Q2,3.32
2014Q3,3.38
2014Q4,3.26
2015Q1,4.67
2015Q2,3.65
2015Q3,3.63
2015Q4,3.44
2016Q1,4.83
2016Q2,3.70
2016Q3,3.70
2016Q4,3.50
